,inverse_v,spy_v,inverse_v_with_25bps_slip
2010-03-12,9.522526621508753,2.372758328046256,9.348005465844107
2010-03-15,9.51713674573912,2.3733752452115477,9.342714371352344
2010-03-16,9.614646236474385,2.392281552414903,9.438436787113938
2010-03-17,9.688525852392504,2.406460605176066,9.510962397266297
2010-03-18,9.641111273813603,2.405175555212902,9.464416794682721
2010-03-19,9.540925807672325,2.3931111946279544,9.366067446625092
2010-03-22,9.618669584407687,2.4059574155207173,9.442386398384809
2010-03-23,9.725831707560667,2.4228279889183484,9.547584540934793
2010-03-24,9.658335955947562,2.4110651590321495,9.481325796792731
2010-03-25,9.592585591268355,2.407144767083563,9.416780451546417
2010-03-26,9.608957103893959,2.4057414016843532,9.43285192034784
2010-03-29,9.6786392739964,2.420969744757015,9.50125701207194
2010-03-30,9.687563092988453,2.4226208461229395,9.51001728253687
2010-03-31,9.61899852373171,2.4143669769001983,9.441045840785282
2010-04-01,9.743674656959026,2.4308764182882414,9.563415449861205
2010-04-05,9.882603043259337,2.4506856302208724,9.699773643535059
2010-04-06,9.91764578905026,2.4564643469369334,9.734168094119791
2010-04-07,9.87208415050367,2.4424330225872297,9.689449351618856
2010-04-08,9.84967872768598,2.450944901670946,9.667458431942332
2010-04-09,9.890601907948831,2.466988786997284,9.707624528221391
2010-04-12,9.93462814844838,2.470908832179823,9.750836277732342
2010-04-13,9.939089390042115,2.4727669556216223,9.75521498579527
2010-04-14,10.108466918520312,2.5008303878009723,9.921459008685634
2010-04-15,10.164889847240106,2.5028935728709083,9.976838106125014
2010-04-16,10.037886116392198,2.4630675303393863,9.852183960277326
2010-04-19,10.050898067332431,2.472353294928766,9.864955188488008
2010-04-20,10.213687260921532,2.4944338822057746,10.024732761513665
2010-04-21,10.24003169033215,2.48989401254016,10.050589815665543
2010-04-22,10.339302128783313,2.4973238562735802,10.148023738515201
2010-04-23,10.396276320022833,2.5136788302083155,10.20394390004833
2010-04-26,10.339782653118245,2.5041343916900143,10.148495373089474
2010-04-27,10.059178851410522,2.444909109192154,9.873082777018777
2010-04-28,10.111513469592875,2.4634806387855774,9.924449198180042
2010-04-29,10.293404352484815,2.4939711386518266,10.102975076853062
2010-04-30,10.084933924243769,2.451770653014699,9.898361377764118
2010-05-03,10.23987835374721,2.4834990170353626,10.050439315826715
2010-05-04,9.965242799282578,2.425099537649776,9.780884553674182
2010-05-05,9.887896278546338,2.4106556448035343,9.704968953303261
2010-05-06,9.51771863283094,2.330631520018636,9.341639640609158
2010-05-07,9.337030686351309,2.2959214247909983,9.164294443873462
2010-05-10,9.801192531331033,2.3970361002602187,9.61986923632046
2010-05-11,9.82359183929839,2.3902261206993796,9.641854154272156
2010-05-12,10.074113892114282,2.423655823223481,9.887741517590399
2010-05-13,9.933745771669322,2.3935273576849903,9.74997022503471
2010-05-14,9.723676955401457,2.3501925448741035,9.543787708298552
2010-05-17,9.747380758300077,2.351431096345252,9.567052987861146
2010-05-18,9.598364739750982,2.319446930572764,9.42079378440433
2010-05-19,9.484146121191543,2.3062399997500824,9.308688224659164
2010-05-20,9.071040598150995,2.219156377359519,8.903225205771587
2010-05-21,9.215244577501545,2.2516581416623263,9.044761393360481
2010-05-24,9.09441944828249,2.2226657914302823,8.92617154423414
2010-05-25,9.089396417004641,2.224895125219087,8.921241439666925
2010-05-26,9.109431138058966,2.2115235055165203,8.940905515860978
2010-05-27,9.466171515083719,2.2856051199043126,9.291046151025895
2010-05-28,9.362801026364613,2.256900205203434,9.189588029354109
2010-06-01,9.09148327829376,2.2189504282529384,8.923289693759623
2010-06-02,9.336806851799311,2.2767296784542164,9.164074750288831
2010-06-03,9.444776042143399,2.2845707354668128,9.270046497026932
2010-06-04,9.031004531739637,2.2042977735347153,8.863929811626159
2010-06-07,8.869689429776392,2.1768520619564344,8.705599059345818
2010-06-08,8.924764356859482,2.200170501244112,8.75965509334837
2010-06-09,8.916559744648431,2.188408389744461,8.75160226749553
2010-06-10,9.228844863466366,2.252379943793471,9.05811007232377
2010-06-11,9.30391288466667,2.263317500800532,9.131789325686855
2010-06-14,9.304526679872106,2.259788988816784,9.132391765603765
2010-06-15,9.568605176346985,2.3111924089453995,9.391584776667642
2010-06-16,9.522942792075542,2.310367313255406,9.346767152250436
2010-06-17,9.496730519697065,2.3140823838951206,9.321039810208982
2010-06-18,9.487716447964809,2.31656539429304,9.312192499937904
2010-06-21,9.423082767407195,2.3099516000923335,9.248754550602786
2010-06-22,9.264921888121657,2.2718004394652085,9.093519667483745
2010-06-23,9.288905983593992,2.264751042701548,9.117060054172185
2010-06-24,9.107463772858216,2.227221853172941,8.938974547163982
2010-06-25,9.185084925170388,2.236500459413259,9.015159698392125
2010-06-28,9.140663516266537,2.229502449475755,8.971560091142074
2010-06-29,8.784283554550145,2.160666561348191,8.621773203556979
2010-06-30,8.702792991228732,2.1401402290153833,8.540489347726696
2010-07-01,8.639830871377296,2.1306037641548907,8.47870144648126
2010-07-02,8.581559137750194,2.1189919736402465,8.421516457614192
2010-07-06,8.594351189517752,2.132884085019432,8.434069942681166
2010-07-07,8.89191492055624,2.200010212943164,8.726084227953189
2010-07-08,9.009610912397674,2.221832114245347,8.84158523614734
2010-07-09,9.117748972750755,2.238418090978189,8.947706564491021
2010-07-12,9.090416083173416,2.2398685859011427,8.920883422482117
2010-07-13,9.293452974067609,2.2736637231252192,9.120133755751572
